"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan","0.997585941055778","0.997585894411384","0.997586188595784","0.997138039319874","0.997585941055778","0.997586173184944","0.991121739161956","0.988135987738541","0.990340338081396","0.98943370310337","0.990284085614154","0.989976733645708","0.991761896424225","0.993142441541774","0.99322700663063","0.993825271662038","0.98907654297523","0.991843518745496","0.983430416741309","0.964996375461021","0.95617196624774","0.954227604895661","0.933363111925275","0.978158206152018","0.97206338114454","0.979990392810707","0.979990392810707"
"ALB","Albania","0.919151936413497","0.942391624014707","0.947702886743299","0.910225074779921","0.936805736564575","0.908479864150581","0.910096966662181","0.910275818702031","0.920179190441692","0.906790846864135","0.895485682173754","0.903493325396958","0.904801370881256","0.905961910860487","0.90443051729234","0.884522400906429","0.885288097690502","0.909790394780855","0.899836336587899","0.899070639803826","0.890647975179017","0.886053794474576","0.882225310554208","0.900602033371972","0.869208465224959","0.865379981304591","0.865379981304591"
"DZA","Algeria","0.95093733173796","0.972820054613443","0.966664990822175","0.966100796205552","0.95786342882822","0.956034563319208","0.95244829428043","0.958115607158841","0.960100681225059","0.918355490364314","0.972134122682811","0.957473308263616","0.951500621398557","0.937649938455661","0.954376450712536","0.956419702159297","0.917294858473259","0.910115678096352","0.913929617671584","0.908433057695514","0.926550885281077","0.931296292818208","0.913947007735759","0.914824879213222","0.914824879213222","0.914824879213222","0.914824879213222"
"AND","Andorra","0.4105","0.4105","0.4105","0.4105","0.4105","0.4105","0.4105","0.4105","0.409","0.406","0.4045","0.4025","0.402","0.402","0.4025","0.402","0.404","0.405","0.407","0.4075","0.408","0.409","0.408","0.408","0.408","0.408","0.408"
"AGO","Angola","0.990211712984871","0.997102984041532","0.997102984041532","0.996766459961364","0.996691676832439","0.997663857508478","0.996934722001449","0.996205586494419","0.997364724992774","0.991755990323315","0.995382972076231","0.992316863790261","0.993588176982005","0.990970767469591","0.99011076148694","0.989734303215926","0.990234303215926","0.990234303215926","0.990734303215926","0.990734303215926","0.990734303215926","0.990734303215926","0.990734303215926","0.990734303215926","0.990734303215926","0.990734303215926","0.990734303215926"
"ATG","Antigua and Barbuda","0.969021687107388","0.969021687107388","0.969021687107388","0.969021687107388","0.969021687107388","0.969021687107388","0.967021687107388","0.965521687107388","0.946321567454382","0.969","0.95428686808256","0.95876951839665","0.962004337421478","0.95476951839665","0.942299880346994","0.955008674842956","0.953008674842956","0.934032904576727","0.928770266227939","0.93709467544122","0.946741699072689","0.906770116661681","0.94576951839665","0.946068650912354","0.932308555189949","0.951266078372719","0.951266078372719"
"ARG","Argentina","0.93245989543695","0.932871940471511","0.933282158157118","0.933685005004404","0.934087499656328","0.93448821842546","0.935383175849581","0.935770328906285","0.936270328906285","0.936770328906285","0.936770328906285","0.936270328906285","0.934770328906285","0.933770328906285","0.933270328906285","0.933770328906285","0.933770328906285","0.933770328906285","0.932770328906285","0.931770328906285","0.930270328906285","0.929270328906285","0.928270328906285","0.928270328906285","0.928270328906285","0.928270328906285","0.928270328906285"
"ARM","Armenia","0.94318766923548","0.936289755879466","0.933823573199742","0.91939208989184","0.94362348423874","0.935660741582947","0.949833805089284","0.86663923473382","0.905602905479164","0.870977057039944","0.89040446564076","0.832105679509008","0.82862096929036","0.831830979396333","0.834893766532627","0.822642617987452","0.81575134693079","0.809625772658202","0.803500198385614","0.797374624113026","0.790483353056365","0.784357778783777","0.777466507727115","0.771340933454526","0.78512347556785","0.767512449534159","0.767512449534159"
"AUS","Australia","0.833145482388974","0.824722817764165","0.824722817764165","0.816300153139357","0.835442572741194","0.840036753445635","0.844662327718223","0.86250765696784","0.843833843797856","0.843568147013783","0.849990811638591","0.834708269525268","0.842833843797856","0.821896500149567","0.848833843797856","0.832957120980092","0.846176875957121","0.843114088820827","0.850005359877489","0.84108269525268","0.834457120980092","0.798469372128637","0.80995482388974","0.803063552833078","0.801532159264931","0.801532159264931","0.801532159264931"
"AUT","Austria","0.791921133231241","0.782732771822358","0.775841500765697","0.793452526799387","0.788858346094947","0.781201378254212","0.802375191424196","0.80393797856049","0.783592649310873","0.783921133231241","0.777061255742726","0.776295558958653","0.770669984686065","0.730353751914242","0.768638591117917","0.758950229709035","0.770701378254212","0.76431010719755","0.790312404287902","0.777498468606432","0.7567932618683","0.764184532924961","0.706757274119449","0.671535222052068","0.698702512713132","0.675631917439426","0.675631917439426"
