"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"BTN","Bhutan",8.1200285,8.1200285,8.1200285,8.1200285,8.1200285,8.1200285,18.82071114,8.89116859,11.47806835,17.37087059,19.01649094,29.11174965,20.92226601,15.00100899,9.11180782,11.01529884,9.75923061,8.70930767,9.69053841,8.65128994,5.0743556,4.76110172,11.16815472,6.05179501,6.96480751,5.13653231,5.13653231
"BOL","Bolivia, Plurinational State of",6.25753689,6.25753689,6.25753689,6.25753689,6.25753689,6.25753689,6.40078497,6.96912527,8.92644691,9.21074009,7.61305428,5.74817848,4.57828236,5.93362188,4.00067425,3.5904696,4.65468597,4.42234516,3.52861857,2.66771841,3.0737884,3.23860908,2.30387115,1.62937176,1.13371396,2.81845069,2.81845069
"BIH","Bosnia and Herzegovina",6.83516884,6.83516884,6.83516884,6.83516884,6.83516884,6.83516884,1.47021496,1.78105414,1.2885375,0.34047738,0.22188847,0.44001108,0.39651504,0.40223277,0.9525398,1.51052833,2.59980559,1.8899281,0.95787603,0.45209342,1.69204223,0.18966424,0.38613981,0.42419314,1.54225659,1.38311899,1.38311899
"BWA","Botswana",16.52929497,16.52929497,16.52929497,16.52929497,16.52929497,16.52929497,14.42066956,13.6840086,13.09399986,11.70676041,11.95364475,10.68930054,14.99626637,12.52663803,7.35743666,5.10271645,4.83636427,4.60987091,8.8375845,7.95071602,7.03000593,5.6654377,9.61172962,8.53516006,9.56364822,5.66384554,5.66384554
"BRA","Brazil",0.31819323,0.31819323,0.31819323,0.31819323,0.31819323,0.31819323,0.28357494,0.31573328,0.1969112,0.53066915,0.06743981,0.10612676,0.08170771,0.05353876,0.14908519,0.24594215,0.33908296,0.12457065,0.06794302,0.13800363,0.08012588,0.07430713,0.06623575,0.08543605,0.14588514,0.14543335,0.14543335
"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR","Bulgaria",2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371,2.02924371
"BFA","Burkina Faso",21.29730415,21.29730415,21.29730415,21.29730415,21.29730415,21.29730415,19.59553146,22.19445229,31.74218559,26.69436264,35.38982391,35.40400696,43.06169128,36.67288589,30.97930145,41.42404938,32.62495041,38.21045685,29.5110836,23.60428619,24.67079163,23.47665787,17.99704552,15.18416309,15.79821396,18.15622139,18.15622139
"BDI","Burundi",0.70938689,0.70938689,0.70938689,0.70938689,0.70938689,0.70938689,19.92476845,15.66202354,17.96702766,24.06061554,28.4046917,27.46936798,26.2610569,29.37711716,36.1097374,42.90303421,26.70165825,28.75172806,44.13805389,12.83325672,10.11311531,37.32399368,41.25179291,42.4523468,30.86786652,30.98870277,30.98870277
"KHM","Cambodia",2.14746714,2.14746714,2.14746714,2.14746714,2.14746714,2.14746714,7.17333317,7.94373941,10.72493744,16.18535042,14.44061947,19.75038719,30.28106117,16.25931168,16.24161339,13.91023254,11.11300945,19.38586998,18.72117996,22.71261215,20.35761261,18.94985771,9.19444656,6.49763823,6.50484943,6.69507504,6.69507504
"CMR","Cameroon",2.66585588,2.66585588,2.66585588,2.66585588,2.66585588,2.66585588,2.24719286,3.44702578,2.36824918,3.34895229,4.76077461,4.65560436,5.1649313,6.10976124,5.71515799,8.00396442,12.15643501,7.86001873,7.3087163,10.60485649,9.91072655,9.82819176,9.48569965,14.29008865,13.0471077,11.91626167,11.91626167
"CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV","Cape Verde",2.57253766,2.57253766,2.57253766,2.57253766,2.57253766,2.57253766,2.83516622,2.85524368,1.62362075,3.92929649,5.41883945,9.10694218,5.20042896,6.16974497,3.15959668,6.04237938,4.7182374,12.9990921,15.27369308,15.06300926,4.16676426,5.10106754,7.99902296,9.54118061,6.6689744,13.10804462,13.10804462
"CAF","Central African Republic",11.6394453,11.6394453,11.6394453,11.6394453,11.6394453,11.6394453,6.95199871,15.44358158,12.32136536,9.72167778,21.9174881,18.2902298,21.38217545,19.44330025,34.35552216,22.96046829,28.89992142,24.97961235,33.13182831,37.03116226,41.40312195,32.82312393,31.45635605,51.37660217,27.66506004,34.31943893,34.31943893
"TCD","Chad",3.43244529,3.43244529,3.43244529,3.43244529,3.43244529,3.43244529,3.54214001,3.01753879,16.8306942,10.43115902,10.05191612,11.12032413,6.29346275,5.85889435,8.12647724,5.94576263,12.75176048,10.81010342,7.97367525,10.8531189,17.027771,22.08400726,20.31199837,19.3388176,19.75568962,21.45186424,21.45186424
"CHL","Chile",0,0,0,0,0,0,0,0,0,0,0,0.02001383,0.00104208,0.01191935,0.01324864,0.01022053,0.002029,0.0015266,0.00269315,0.00242602,0.00141932,0,0,0,0,0,0
"CHN","China",0.02547254,0.02547254,0.02547254,0.02547254,0.02547254,0.02547254,0.22134258,0.14548576,0.12766516,0.12344482,0.21010171,0.14492926,0.18071163,0.15566339,0.10555609,0.12173964,0.07550438,0.05628394,0.05544716,0.03018604,0.00859982,0.00161523,0.00044167,0.00064801,0.00066961,0.00024403,0.00024403
"COL","Colombia",0.01743398,0.01743398,0.01743398,0.01743398,0.01743398,0.01743398,0.04688538,0.89291525,1.85931981,1.24555624,0.94975674,0.71166968,0.46737197,0.06050039,0.04858739,0.06273011,0.15313482,0.5262354,0.5262354,0.5262354,0.5262354,0.5262354,0.5262354,0.5262354,0.5262354,0.5262354,0.5262354
"COM","Comoros",5.89073467,5.89073467,5.89073467,5.89073467,5.89073467,5.89073467,7.87682962,6.70731401,11.27604389,12.11356926,9.42917538,6.06638479,4.31190014,4.37350941,4.36777544,8.1900692,14.30095863,14.50089359,16.5729599,21.15483284,10.78688049,12.66489601,19.80408478,13.1380415,17.57010078,13.23615646,13.23615646
"COG","Congo",11.5210638,11.5210638,11.5210638,11.5210638,11.5210638,11.5210638,8.74561691,11.6272192,11.14666939,20.23670959,21.31544876,17.27007484,18.39298058,11.4930191,19.1670742,11.7349844,20.96310806,26.3597374,19.84407806,18.17324638,18.91436386,5.11391115,7.24547338,5.47522306,7.01047707,10.99664783,10.99664783
"COD","Congo, the Democratic Republic o",25.66997528,25.66997528,25.66997528,25.66997528,25.66997528,25.66997528,14.93379307,15.81775761,19.65146255,18.30513191,19.3431015,20.19490051,23.93532372,38.37123108,41.08285522,44.77018356,45.04618835,37.63668823,40.14576721,40.19532776,39.27082825,43.22838593,42.47307205,35.21685028,38.82657242,37.48040771,37.48040771
"CRI","Costa Rica",1.1117444,1.1117444,1.1117444,1.1117444,1.1117444,1.1117444,1.260198,0.38723284,0.33544725,0.23138919,0.17699823,0.08924608,0.09470533,0.14018829,0.28391573,0.21066861,0.12927732,0.06346241,0.03902256,0.02410425,0.00636806,0.02836165,0.05353978,0.0062117,0.00104268,0.13579112,0.13579112
"CIV","Cote d'Ivoire",7.14640188,7.14640188,7.14640188,7.14640188,7.14640188,7.14640188,6.95327044,7.38162756,7.0515027,8.33184147,6.67415667,7.66020679,8.55670547,11.56071186,10.30702782,10.56783581,12.19101715,15.65249825,8.71003151,13.47169113,13.08228302,14.9303875,13.03412533,12.27736473,12.99884805,13.54403633,13.54403633
"HRV","Croatia",0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00450471,0.00159201,0.00517014,0.00134072,0.00422894,0.00854785,0.00220794,0.00220794
"CUB","Cuba",0.07373915,0.07373915,0.07373915,0.07373915,0.07373915,0.07373915,0.07667926,0.11725663,0.14297508,0.35815632,0.29124269,0.13949484,0.11011758,0.19303413,0.09858164,0.03938273,0.19650027,0.16542237,0.1210008,0.1102391,0.04766417,0.10711079,0.07677097,0.08804822,0.13226296,0.0560494,0.0560494
"CYP","Cyprus",0.53344458,0.53344458,0.53344458,0.53344458,0.53344458,0.53344458,0.49213043,0.59972543,0.58017379,0.54738265,0.53368944,0.59484863,0.61822152,0.46357441,0.55489761,0.90465069,0.95644373,0.94572675,1.1261003,1.09613359,1.15934336,0.20783879,0.40834177,0.36750153,0.68906051,0.24745411,0.24745411
"CZE","Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK","Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI","Djibouti",0,0,0,0,0,0,0,20.80322838,24.75306129,14.86052799,14.39944839,12.28400421,12.87839317,10.48653603,10.08739281,9.78307915,11.28303623,18.48588943,13.09074306,16.58128166,23.19301224,26.96528053,25.85710907,19.77166176,18.6656189,21.72534752,21.72534752
"DMA","Dominica",2.92069483,2.92069483,2.92069483,2.92069483,2.92069483,2.92069483,2.33869553,4.75164938,3.033391,3.95407605,2.70328593,2.56881452,3.21309233,2.607939,2.93046021,2.71198344,3.10298872,3.46242213,2.27154613,2.20903039,1.93569994,1.85037196,1.62325132,1.81207561,0.71905094,7.59140825,7.59140825
"DOM","Dominican Republic",1.84018743,1.84018743,1.84018743,1.84018743,1.84018743,1.84018743,2.90014863,5.31062269,3.20671272,2.18135619,1.69850194,1.11908674,1.7336247,1.77763748,0.93324375,0.67250806,0.52326828,1.43889034,0.6048274,7.63028097,9.08337116,0.78624558,0.95938969,1.31822789,1.17159593,0.79788476,0.79788476
"ECU","Ecuador",2.78586411,2.78586411,2.78586411,2.78586411,2.78586411,2.78586411,1.95998693,1.05707419,0.56670982,1.17824543,0.60293055,0.94484329,0.48569837,0.44309902,0.45848373,1.67978597,0.21196304,0.19582541,0.15561312,0.19636707,0.23057868,0.19513617,0.13376011,0.10837451,0.10381798,0.15627319,0.15627319
"EGY","Egypt",0.85898668,0.85898668,0.85898668,0.85898668,0.85898668,0.85898668,0.85898668,0.85898668,0.85898668,1.06511736,1.22708189,1.56766725,2.09135318,1.35774577,1.60886967,0.64146358,0.57470351,0.37650833,0.16287425,1.36775744,0.2021538,1.01053631,0.31514263,0.65753311,1.03764796,1.12120402,1.12120402
"SLV","El Salvador",1.02885032,1.02885032,1.02885032,1.02885032,1.02885032,1.02885032,2.06410003,0.50009972,0.4850595,2.06569934,2.01899028,2.93169045,3.23725057,3.27675653,7.7199831,6.03469658,0.77956176,1.99418664,3.01865125,2.11914945,1.61815822,1.60480988,0.11182721,0.17431378,0.309901,0.44028178,0.44028178
"GNQ","Equatorial Guinea",3.18817973,3.18817973,3.18817973,3.18817973,3.18817973,3.18817973,9.58118057,5.5740118,3.21101904,3.13864827,3.11545539,5.5272069,5.56050348,2.51454115,5.91090202,4.35273457,4.31774426,3.37593341,1.19256818,0.35666835,1.24478722,1.1932168,2.10117698,2.35400581,0.91305906,1.44459343,1.44459343
"ERI","Eritrea",0.64057595,0.64057595,0.64057595,0.64057595,0.64057595,0.64057595,13.79907703,22.28843689,38.31954193,42.61532593,52.33444214,53.35165405,32.89182663,43.44826126,34.73834229,29.75931549,48.16618729,26.05442238,35.30799866,34.68010712,41.23163986,22.69674301,32.03656769,35.49721146,39.19594193,34.07184982,34.07184982
"EST","Estonia",0.01804261,0.01804261,0.01804261,0.01804261,0.01804261,0.01804261,0.11389332,0.20974403,0.30559474,0.67904931,0.48831531,0.66522276,0.57492357,0.43139732,0.367369,1.81291568,1.43225145,0.39226943,0.06151683,0.22896694,0.19696037,0.17943572,0.02680308,0.02365383,0.02076669,0.01842859,0.01842859
